CustomerID,Country,CountryIndex,RecencyDays,Frequency,Monetary,LastPurchaseTS,PurchaseHour,PurchaseMonth,DayOfWeek,is_weekend
17343,United Kingdom,0.0,355,6,1259.94,2010-12-19T15:07:00.000+03:00,15,12,1,0
17790,United Kingdom,0.0,26,20,2581.81,2011-11-13T11:30:00.000+03:00,11,11,1,0
12700,France,2.0,7,4,4686.89,2011-12-02T10:47:00.000+03:00,10,12,6,1
16805,United Kingdom,0.0,173,5,1006.44,2011-06-19T11:23:00.000+03:00,11,6,1,0
14694,United Kingdom,0.0,617,1,229.19,2010-04-01T19:46:00.000+03:00,19,4,5,0
14156,EIRE,21.0,9,128,84613.73,2011-11-30T10:54:00.000+03:00,10,11,4,0
17248,United Kingdom,0.0,120,2,459.74,2011-08-11T13:34:00.000+03:00,13,8,5,0
16444,United Kingdom,0.0,46,17,3319.02,2011-10-24T13:50:00.000+03:00,13,10,2,0
17002,United Kingdom,0.0,85,7,2008.15,2011-09-15T12:40:00.000+03:00,12,9,5,0
12735,France,2.0,315,2,779.57,2011-01-28T13:37:00.000+03:00,13,1,6,1
15564,United Kingdom,0.0,463,2,70.74,2010-09-02T15:52:00.000+03:00,15,9,5,0
17924,United Kingdom,0.0,11,5,1194.18,2011-11-28T09:11:00.000+03:00,9,11,2,0
14163,United Kingdom,0.0,87,5,1651.62,2011-09-13T15:18:00.000+03:00,15,9,3,0
15951,United Kingdom,0.0,8,3,1013.17,2011-12-01T08:34:00.000+03:00,8,12,5,0
16612,United Kingdom,0.0,32,9,3239.13,2011-11-07T07:38:00.000+03:00,7,11,2,0
14037,United Kingdom,0.0,176,6,729.71,2011-06-16T13:57:00.000+03:00,13,6,5,0
18106,United Kingdom,0.0,329,6,1359.46,2011-01-14T12:23:00.000+03:00,12,1,6,1
14181,United Kingdom,0.0,410,2,308.35,2010-10-25T08:27:00.000+03:00,8,10,2,0
15531,United Kingdom,0.0,8,2,1965.55,2011-12-01T18:43:00.000+03:00,18,12,5,0
12602,France,2.0,58,1,153.12,2011-10-12T11:22:00.000+03:00,11,10,4,0
13509,United Kingdom,0.0,8,7,737.68,2011-12-01T10:10:00.000+03:00,10,12,5,0
16230,United Kingdom,0.0,189,2,542.03,2011-06-03T10:06:00.000+03:00,10,6,6,1
